Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
1,Apartment,Apartment,"375,000",1160,Brussels,76,USA hyper equipped,No,No,0,No,0,Yes,25,0,0,No,As new
2,Apartment,Apartment,"249,000",9700,Oost-vlaanderen,97,Installed,No,No,0,No,0,No,0,0,4,No,Good
2,Apartment,Apartment,"275,000",1080,Brussels,98,Hyper equipped,No,No,0,No,0,Yes,4,0,2,No,As new
3,House,Town-house,"435,000",1785,Vlaams-brabant,213,Hyper equipped,No,No,0,Yes,138,Yes,7,249,2,No,Just renovated
5,House,House,"750,000",1150,Brussels,260,Installed,No,No,0,No,0,No,0,110,2,No,Good
5,Apartment,Apartment block,"750,000",1150,Brussels,260,Installed,No,No,0,No,0,Yes,39,110,2,No,Good
6,House,House,"990,000",1150,Brussels,485,Hyper equipped,No,No,0,No,0,Yes,16,251,2,No,As new
3,Apartment,Apartment,"155,000",4020,Luik,115,USA semi equipped,No,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"199,500",4520,Luik,90,Installed,No,No,0,No,0,Yes,8,0,3,No,As new
2,Apartment,Apartment,"212,500",4520,Luik,90,Installed,No,No,0,No,0,Yes,8,0,3,No,As new
2,House,House,"250,000",5030,Namen,81,Semi equipped,No,Yes,1,Yes,400,Yes,25,633,3,No,To be done up
2,Apartment,Apartment,"275,000",1140,Brussels,84,Installed,No,No,0,No,0,Yes,6,0,0,No,Good
2,Apartment,Apartment,Make,1190,Brussels,103,Semi equipped,No,No,0,No,0,Yes,25,0,2,No,Good
3,House,House,"395,000",3000,Vlaams-brabant,104,Installed,Yes,No,0,No,0,Yes,6,49,2,No,Good
2,House,House,"410,000",1600,Vlaams-brabant,130,USA hyper equipped,Yes,No,0,Yes,70,Yes,10,250,3,No,As new
2,Apartment,Apartment,"413,000",9000,Oost-vlaanderen,96,Installed,No,No,0,No,0,Yes,40,0,4,No,As new
3,Apartment,Apartment,"649,000",1150,Brussels,150,Hyper equipped,No,Yes,1,Yes,60,No,0,0,3,No,As new
2,Apartment,Apartment,"179,900",6890,Luxemburg,86,Installed,0,No,0,No,0,Yes,7,0,4,No,As new
5,House,House,"309,000",4520,Luik,170,Semi equipped,No,No,0,Yes,600,Yes,20,891,4,No,Good
5,House,Villa,"309,000",4520,Luik,170,Semi equipped,No,No,0,Yes,600,Yes,20,891,4,No,Good
2,House,Penthouse,"369,000",1200,Brussels,87,Hyper equipped,No,No,0,No,0,Yes,30,0,2,No,As new
4,House,House,"660,000",1180,Brussels,200,USA semi equipped,No,Yes,1,Yes,96,No,0,323,3,No,Good
5,House,House,"745,000",1780,Vlaams-brabant,287,Hyper equipped,No,No,0,Yes,510,Yes,40,661,4,No,As new
6,House,Mansion,"2,495,000",1200,Brussels,460,Hyper equipped,0,No,0,No,0,Yes,48,561,2,No,As new
1,Apartment,Apartment,"135,000",9000,Oost-vlaanderen,25,Semi equipped,No,No,0,No,0,No,0,0,2,No,Good
1,Apartment,Apartment,"135,000",9000,Oost-vlaanderen,25,Semi equipped,No,No,0,No,0,No,0,0,2,No,Good
2,Apartment,Apartment,"425,000",9000,Oost-vlaanderen,128,Installed,No,No,0,No,0,Yes,76,0,2,No,Good
2,Apartment,Apartment,"594,000",1050,Brussels,131,USA hyper equipped,No,No,0,No,0,No,0,0,2,No,Just renovated
2,House,Town-house,"369,000",1070,Brussels,145,Hyper equipped,0,No,0,No,0,Yes,17,148,2,No,Good
1,Apartment,Apartment,"275,000",1050,Brussels,70,Not installed,No,No,0,No,0,Yes,3,0,3,No,To renovate
1,Apartment,Apartment,"275,000",1050,Brussels,70,Not installed,No,No,0,No,0,Yes,3,0,3,No,To be done up
1,Apartment,Apartment,"285,000",1030,Brussels,90,Installed,No,No,0,No,0,No,0,0,2,No,Good
