Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Number of frontages,Swimming pool,Building condition,Apartment,Type Apartment,Type House,Apartment block,Bungalow,Castle,Chalet,Country house,Duplex,Exceptional property,Farmhouse,Ground floor,House,Kot,Loft,Manor house,Mansion,Other properties,Penthouse,Service flat,Studio,Town-house,Triplex,Villa,Antwerpen,Brussels,Henegouwen,Limburg,Luik,Luxemburg,Namen,Oost-vlaanderen,Vlaams-brabant,Waals-brabant,West-vlaanderen,Hyper equipped,Installed,Not installed,Semi equipped,USA hyper equipped,USA installed,USA semi equipped,USA uninstalled,Unknown_Kitchen_Type,No,Furnished_No,Yes,Furnished_Yes,Fireplace_No,Fireplace_Yes,HasGarden_No,HasGarden_Yes,HasTerrace_No,HasTerrace_Yes,Swimmingpool_No,Swimmingpool_Yes,Good,Just renovated,To be done up,To renovate,To restore,Unknown
1,Apartment,Apartment,375000.0,1160,Brussels,76,USA hyper equipped,No,No,0,No,0,Yes,25,0,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2,Apartment,Apartment,249000.0,9700,Oost-vlaanderen,97,Installed,No,No,0,No,0,No,0,4,No,Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
2,Apartment,Apartment,275000.0,1080,Brussels,98,Hyper equipped,No,No,0,No,0,Yes,4,2,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
3,House,Town-house,435000.0,1785,Vlaams-brabant,213,Hyper equipped,No,No,0,Yes,138,Yes,7,2,No,Just renovated,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
5,House,House,750000.0,1150,Brussels,260,Installed,No,No,0,No,0,No,0,2,No,Good,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
5,Apartment,Apartment block,750000.0,1150,Brussels,260,Installed,No,No,0,No,0,Yes,39,2,No,Good,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
6,House,House,990000.0,1150,Brussels,485,Hyper equipped,No,No,0,No,0,Yes,16,2,No,As new,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
3,Apartment,Apartment,155000.0,4020,Luik,115,USA semi equipped,No,No,0,No,0,No,0,2,No,Good,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
2,Apartment,Apartment,199500.0,4520,Luik,90,Installed,No,No,0,No,0,Yes,8,3,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2,Apartment,Apartment,212500.0,4520,Luik,90,Installed,No,No,0,No,0,Yes,8,3,No,As new,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
